english	hi_deva_in	status	register_or_domain	authority	rationale_or_rejected_choice
Turing machine	ट्यूरिंग मशीन	controlled	logic/computer science	conventional personal-name transcription plus native मशीन	Use the established Hindi name; reject untranslated Turing machine or Hinglish prose.
tape	पट्टी	controlled	Turing machines	reader-transparent native Hindi	Use पट्टी for the machine medium; do not use English टेप as primary prose.
tape alphabet	पट्टी-वर्णमाला	controlled	Turing machines	controlled पट्टी plus standard वर्णमाला	Preserve formal symbol Sigma.
read-write head	पठन-लेखन शीर्ष	controlled	Turing machines	meaning-transparent technical compound	Keep both reading and writing functions explicit; reject हेड.
state	अवस्था	controlled	logic/computation	standard Hindi technical term	Preserve formal q-indices.
state diagram	अवस्था आरेख	controlled	Turing machines	standard आरेख terminology	Keep arrows and edge labels formally invariant.
configuration	विन्यास	controlled	Turing machines	standard mathematical/computational Hindi	Use for the complete tape-head-state triple, not merely the state.
transition function	संक्रमण फलन	controlled	logic/computation	standard Hindi mathematical terminology	Preserve delta and all tuples exactly.
instruction set	निर्देश-समुच्चय	controlled	Turing machines	meaning-transparent native compound	Keep distinct from the transition function presentation.
Turing-machine input	आगत	controlled	Turing machines	standard formal Hindi in machine descriptions	Domain-specific choice alongside the existing general input term निवेश; reject इनपुट as primary reader prose.
Turing-machine output	निर्गत	controlled	Turing machines	standard formal Hindi in machine descriptions	Domain-specific choice alongside the existing general output term निर्गम; reject आउटपुट as primary reader prose.
end marker	अंत-चिह्नक	controlled	Turing machines	meaning-transparent native formation	Preserve the formal end-marker token.
halting state	विराम-अवस्था	controlled	Turing machines	controlled विराम plus अवस्था	Keep designated-state and undefined-transition conventions distinct.
disciplined Turing machine	अनुशासित ट्यूरिंग मशीन	controlled	Turing machines	literal technical contrast used by the chapter	Use only for the chapter's four explicit discipline conditions.
unary representation	एकाधारी निरूपण	controlled	number representation/computation	standard mathematical Hindi	Preserve stroke and separator symbols.
doubler machine	द्विगुणक मशीन	controlled	Turing machines	meaning-transparent native derivation	Use for the machine that duplicates unary input, not ordinary scalar multiplication prose.
nondeterministic	अनियतात्मक	controlled	logic/computation	standard native technical formation	Reject नॉन-डिटरमिनिस्टिक in primary prose.
Church--Turing thesis	चर्च--ट्यूरिंग अभिधारणा	controlled	computability theory	conventional names plus controlled अभिधारणा	Keep it explicitly distinct from a formally proved theorem.
undecidability	अनिर्णेयता	controlled	logic/computability	standard derivation from निर्णेय	Use for the property or chapter topic; keep असमाधेयता for unsolvability of a problem rather than collapsing the distinction.
decision problem	निर्णय समस्या	controlled	logic/computability	standard transparent technical phrase	Use for Entscheidungsproblem in its historical and first-order-logic sense; reject डिसीजन प्रॉब्लम in primary prose.
halting function	विराम फलन	controlled	computability theory	controlled विराम plus फलन	Keep the 0/1 function distinct from a machine execution that halts.
universal Turing machine	सार्वत्रिक ट्यूरिंग मशीन	controlled	computability theory	standard सार्वत्रिक plus established machine name	Use for a machine that simulates encoded machines; reject यूनिवर्सल as primary prose.
simulation	अनुकरण	controlled	computation	reader-transparent native Hindi	Use for one machine reproducing another machine's computation; do not say that one machine computes another machine.
finite model	परिमित प्रतिरूप	controlled	model theory	standard compositional Hindi	Use प्रतिरूप for model throughout; reject finite model borrowing in reader prose.
finite satisfiability	परिमित संतुष्टनीयता	controlled	logic/model theory	controlled परिमित plus संतुष्टनीयता	Use for existence of a finite model, not ordinary satisfiability without the finite restriction.
Trakhtenbrot's theorem	ट्राख्टेनब्रॉट का प्रमेय	controlled	logic/model theory	conventional Devanagari name transcription plus प्रमेय	Keep the personal name indexed in English; preserve the theorem's finite-model scope.
